_id,balance,inserttime,period,position,profitloss,status
639bacc3f2618199f23edb36,100,12/15/22 18:24,0,long,0,live
639bb84ff2618199f23f13d6,100.0050286,12/15/22 19:14,1,long,0.005028643,live
639bc362f2618199f23f4c76,100.0305382,12/15/22 20:01,2,long,0.030538243,live
639bd017f2618199f23f8516,100.052127,12/15/22 20:55,3,long,0.052127042,live
639bdbe2f2618199f23fbdb6,200.0446148,12/15/22 21:45,4,long,0.044614841,live
639be725f2618199f23ff656,200.0575478,12/15/22 22:33,5,long,0.057547778,live
639bf2cff2618199f2402ef6,300.0315852,12/15/22 23:23,6,long,0.031585161,live
639bfea9f2618199f2406796,399.9977326,12/16/22 0:14,7,long,-0.002267422,live
639c0963f2618199f240a036,400.0418524,12/16/22 1:00,8,long,0.041852379,live
639c1436f2618199f240d8d6,400.0420818,12/16/22 1:46,9,long,0.042081759,live
