_id,balance,inserttime,period,position,profitloss,status
639bacc4f2618199f23edb38,100,12/15/22 18:24,0,short,0,live
639bb84ff2618199f23f13d8,100.0277586,12/15/22 19:14,1,short,-0.027758647,live
639bc362f2618199f23f4c78,200.0181629,12/15/22 20:01,2,short,-0.018162858,live
639bd017f2618199f23f8518,200.0908872,12/15/22 20:55,3,short,-0.090887175,live
639bdbe2f2618199f23fbdb8,200.118762,12/15/22 21:45,4,short,-0.118762005,live
639be725f2618199f23ff658,200.127078,12/15/22 22:33,5,short,-0.127077974,live
639bf2cff2618199f2402ef8,300.1003652,12/15/22 23:23,6,short,-0.100365158,live
639bfea9f2618199f2406798,400.0601078,12/16/22 0:14,7,short,-0.06010775,live
639c0964f2618199f240a038,400.1168989,12/16/22 1:00,8,short,-0.116898857,live
639c1436f2618199f240d8d8,400.1486841,12/16/22 1:46,9,short,-0.148684101,live
