_id,balance,inserttime,period,position,profitloss,status
639bacc5f2618199f23edb42,100,12/15/22 18:24,0,long,0,live
639bb851f2618199f23f13e2,199.9778507,12/15/22 19:14,1,long,-0.022149265,live
639bc363f2618199f23f4c82,299.8566842,12/15/22 20:01,2,long,-0.143315823,live
639bd019f2618199f23f8522,399.6579118,12/15/22 20:55,3,long,-0.342088219,live
639bdbe3f2618199f23fbdc2,499.6417526,12/15/22 21:45,4,long,-0.358247403,live
639be727f2618199f23ff662,599.5074103,12/15/22 22:33,5,long,-0.492589667,live
639bf2d0f2618199f2402f02,599.6032485,12/15/22 23:23,6,long,-0.396751484,live
639bfeabf2618199f24067a2,599.6965854,12/16/22 0:14,7,long,-0.303414645,live
639c0965f2618199f240a042,699.5566129,12/16/22 1:00,8,long,-0.443387071,live
639c1437f2618199f240d8e2,799.5440611,12/16/22 1:46,9,long,-0.455938899,live
