inserttime,period,maximum,minimum,mean,volatility,fd,return
12/14/22 21:44,1,1.065975,1.06545,1.065620696,0.00049253,0,0
12/14/22 21:50,2,1.06635,1.065865,1.066066611,0.000454965,692783.5052,0.000418455
12/14/22 21:56,3,1.06615,1.06575,1.065937014,0.000375257,775000,-0.000121566
12/14/22 22:03,4,1.06615,1.065495,1.065839972,0.000614706,645801.5267,-9.10E-05
12/14/22 22:10,5,1.06595,1.06555,1.065680889,0.000375289,365000,-0.000149256
12/14/22 22:18,6,1.06605,1.065725,1.065846278,0.000304914,812307.6923,0.000155196
12/14/22 22:25,7,1.065985,1.065525,1.065719431,0.000431692,1093478.261,-0.000119011
12/14/22 22:32,8,1.06575,1.06545,1.065596417,0.000281541,953333.3333,-0.000115428
12/14/22 22:38,9,1.06575,1.065425,1.065564931,0.000305003,978461.5385,-2.95E-05
12/14/22 22:44,10,1.06565,1.065425,1.065513667,0.000211169,1764444.444,-4.81E-05
12/14/22 22:51,11,1.06585,1.065445,1.065563972,0.00038003,1279012.346,4.72E-05
12/14/22 22:57,12,1.06585,1.065425,1.065595083,0.000398864,722352.9412,2.92E-05
12/14/22 23:03,13,1.06575,1.065175,1.065453417,0.000539792,587826.087,-0.000132946
12/14/22 23:10,14,1.06545,1.06505,1.065181722,0.000375539,645000,-0.000255004
12/14/22 23:17,15,1.06525,1.06495,1.065096417,0.00028166,990000,-8.01E-05
12/14/22 23:23,16,1.06525,1.06475,1.064957222,0.000469481,1048000,-0.000130687
12/14/22 23:29,17,1.06535,1.065005,1.065122542,0.00032389,968115.942,0.000155236
12/14/22 23:35,18,1.06535,1.064825,1.065080667,0.000492974,680000,-3.93E-05
12/14/22 23:41,19,1.06525,1.064915,1.065052111,0.000314579,856716.4179,-2.68E-05
12/14/22 23:47,20,1.06525,1.064715,1.065004222,0.00050234,657943.9252,-4.50E-05
12/14/22 23:53,21,1.06515,1.064725,1.064928139,0.000399037,585882.3529,-7.14E-05
12/14/22 23:59,22,1.06515,1.06465,1.064795736,0.000469561,722000,-0.00012433
12/15/22 0:06,23,1.064855,1.064585,1.064696625,0.000253599,1248148.148,-9.31E-05
12/15/22 0:12,24,1.06505,1.064615,1.064778014,0.000408506,924137.931,7.64E-05
12/15/22 0:18,25,1.06505,1.064695,1.064813903,0.000333426,904225.3521,3.37E-05
12/15/22 0:24,26,1.06535,1.06465,1.065021028,0.000657144,581428.5714,0.000194518
12/15/22 0:30,27,1.06535,1.065115,1.065190528,0.000220585,702127.6596,0.000159152
12/15/22 0:37,28,1.06525,1.06495,1.065046917,0.000281691,2190000,-0.000134822
12/15/22 0:43,29,1.06545,1.06495,1.065110125,0.000469406,998000,5.93E-05
12/15/22 0:49,30,1.06525,1.064815,1.065004583,0.000408483,717241.3793,-9.91E-05
12/15/22 0:55,31,1.06555,1.06465,1.065048347,0.000844678,422222.2222,4.11E-05
12/15/22 1:01,32,1.06605,1.06545,1.065749333,0.000563023,305000,0.000658173
12/15/22 1:08,33,1.06605,1.06555,1.065725653,0.000469147,534000,-2.22E-05
12/15/22 1:14,34,1.06585,1.065415,1.065612208,0.000408284,783908.046,-0.000106448
12/15/22 1:20,35,1.06585,1.06535,1.065550028,0.000469221,624000,-5.84E-05
12/15/22 1:25,36,1.06585,1.065515,1.065625236,0.00031437,880597.0149,7.06E-05
12/15/22 1:31,37,1.06615,1.06555,1.065823403,0.000562902,680000,0.000185963
12/15/22 1:37,38,1.06605,1.06555,1.065733736,0.00046916,578000,-8.41E-05
12/15/22 1:42,39,1.06605,1.06555,1.065732028,0.000469059,782000,-1.60E-06
12/15/22 1:48,40,1.06615,1.06582,1.065937514,0.0003096,709090.9091,0.000192812
12/15/22 1:53,41,1.06595,1.06541,1.065615611,0.000506819,994444.4444,-0.00030199
12/15/22 1:59,42,1.06565,1.06535,1.065442556,0.00028157,863333.3333,-0.0001624
12/15/22 2:04,43,1.06575,1.065285,1.065475472,0.000436446,1184946.237,3.09E-05
12/15/22 2:11,44,1.06575,1.06519,1.065462222,0.0005256,708928.5714,-1.24E-05
12/15/22 2:17,45,1.06555,1.065,1.065241125,0.000516272,549090.9091,-0.000207513
12/15/22 2:22,46,1.06544,1.06505,1.065248611,0.000366175,748717.9487,7.03E-06
12/15/22 2:28,47,1.06545,1.06495,1.065192806,0.000469369,934000,-5.24E-05
12/15/22 2:34,48,1.0656,1.065105,1.065365542,0.000464736,626262.6263,0.000162164
12/15/22 2:39,49,1.06535,1.06479,1.065010792,0.000525876,567857.1429,-0.000332984
12/15/22 2:45,50,1.06505,1.0644,1.064781486,0.000610552,444615.3846,-0.000215308
12/15/22 2:51,51,1.06475,1.06418,1.0644995,0.000535558,447368.4211,-0.00026483
12/15/22 2:56,52,1.06445,1.06405,1.064233319,0.000375799,700000,-0.000250052
12/15/22 3:02,53,1.06447,1.06407,1.064287014,0.000375827,1137500,5.05E-05
12/15/22 3:08,54,1.064695,1.063875,1.064451472,0.000770767,669512.1951,0.000154524
12/15/22 3:13,55,1.06445,1.06374,1.064070736,0.000667387,369014.0845,-0.000357683
12/15/22 3:19,56,1.064265,1.06352,1.063876375,0.000700438,351677.8523,-0.000182658
12/15/22 3:25,57,1.06415,1.063315,1.063628111,0.00078476,336526.9461,-0.000233358
12/15/22 3:31,58,1.064065,1.063425,1.063859903,0.000601586,339062.5,0.000217925
12/15/22 3:37,59,1.06434,1.063625,1.063935667,0.000672052,423776.2238,7.12E-05
12/15/22 3:43,60,1.06389,1.062495,1.063024431,0.001312731,271684.5878,-0.000856477
12/15/22 3:48,61,1.06305,1.0624,1.062704167,0.000611788,241538.4615,-0.000301276
12/15/22 3:54,62,1.062705,1.06207,1.062418194,0.000597748,494488.189,-0.000269099
12/15/22 3:59,63,1.06256,1.062015,1.062345486,0.000513091,600000,-6.84E-05
12/15/22 4:05,64,1.062235,1.06087,1.061593528,0.001286171,326007.326,-0.000707828
12/15/22 4:11,65,1.06159,1.061075,1.061336556,0.000485288,300970.8738,-0.000242063
12/15/22 4:17,66,1.06155,1.06058,1.061102847,0.000914284,476288.6598,-0.000220202
12/15/22 4:23,67,1.06145,1.06093,1.061133319,0.000489988,475000,2.87E-05
12/15/22 4:29,68,1.06125,1.060605,1.060950278,0.000607986,623255.814,-0.000172496
12/15/22 4:36,69,1.06149,1.06062,1.061109264,0.00081961,381609.1954,0.000149853
12/15/22 4:42,70,1.061755,1.061115,1.061425819,0.000602929,431250,0.000298325
12/15/22 4:48,71,1.06195,1.06129,1.061602833,0.000621557,516666.6667,0.00016677
12/15/22 4:55,72,1.06225,1.06179,1.062020903,0.000433088,652173.913,0.00039381
12/15/22 5:01,73,1.06225,1.06165,1.062068181,0.000565142,793333.3333,4.45E-05
12/15/22 5:07,74,1.06225,1.06162,1.061969444,0.000593164,577777.7778,-9.30E-05
12/15/22 5:13,75,1.06235,1.06185,1.062069236,0.000470779,488000,9.40E-05
12/15/22 5:20,76,1.06259,1.06192,1.062193694,0.000630692,561194.0299,0.000117185
12/15/22 5:26,77,1.06255,1.06171,1.062046583,0.000790879,404761.9048,-0.000138497
12/15/22 5:32,78,1.06265,1.061925,1.062166472,0.000682716,285517.2414,0.000112885
12/15/22 5:39,79,1.06255,1.06194,1.062177083,0.000574299,429508.1967,9.99E-06
12/15/22 5:45,80,1.06278,1.061895,1.062329153,0.000833239,445197.7401,0.000143168
12/15/22 5:51,81,1.062165,1.06165,1.061873444,0.00048498,448543.6893,-0.000428971
12/15/22 5:57,82,1.062305,1.061655,1.061931111,0.000612234,656923.0769,5.43E-05
12/15/22 6:04,83,1.06185,1.06143,1.061639042,0.000395689,650000,-0.000275036
12/15/22 6:09,84,1.06145,1.06069,1.061029653,0.000716184,706578.9474,-0.000574008
12/15/22 6:16,85,1.061385,1.060735,1.061085958,0.000612462,373846.1538,5.31E-05
12/15/22 6:22,86,1.061595,1.06104,1.061215681,0.000522877,466666.6667,0.000122254
12/15/22 6:29,87,1.06175,1.06129,1.061528722,0.000433276,719565.2174,0.000294984
12/15/22 6:35,88,1.06185,1.061425,1.061620125,0.000400305,1000000,8.61E-05
12/15/22 6:41,89,1.06195,1.06145,1.061737056,0.000470907,866000,0.000110143
12/15/22 6:47,90,1.06217,1.06169,1.061950972,0.000451948,812500,0.000201478
12/15/22 6:53,91,1.06245,1.061945,1.062178583,0.000475509,924752.4752,0.000214333
12/15/22 7:00,92,1.06245,1.06152,1.062189264,0.000875933,567741.9355,1.01E-05
12/15/22 7:06,93,1.062395,1.06154,1.061971903,0.000805365,390643.2749,-0.000204635
12/15/22 7:13,94,1.06201,1.061405,1.061764875,0.000569723,373553.719,-0.000194947
12/15/22 7:20,95,1.06204,1.06145,1.061749528,0.000555535,515254.2373,-1.45E-05
12/15/22 7:26,96,1.06245,1.06168,1.062034069,0.000725122,511688.3117,0.000267993
12/15/22 7:33,97,1.06235,1.061565,1.062046319,0.00073938,379617.8344,1.15E-05
12/15/22 7:39,98,1.062175,1.06165,1.061863208,0.00049428,440000,-0.000172413
12/15/22 7:45,99,1.06245,1.06205,1.062203861,0.000376556,772500,0.000320807
12/15/22 7:51,100,1.06245,1.06165,1.062124597,0.000753118,678750,-7.46E-05
12/15/22 7:58,101,1.06275,1.06205,1.062378736,0.000658755,388571.4286,0.000239274
12/15/22 8:05,102,1.06285,1.061575,1.062023042,0.001200627,279215.6863,-0.000334809
12/15/22 8:11,103,1.06205,1.061405,1.061688486,0.000607453,254263.5659,-0.000315017
12/15/22 8:17,104,1.064495,1.061645,1.062619486,0.002678861,167017.5439,0.000876905
12/15/22 8:24,105,1.06465,1.063185,1.064140694,0.001376285,107849.8294,0.001431565
12/15/22 8:31,106,1.06551,1.06303,1.064003306,0.002327611,116532.2581,-0.000129108
12/15/22 8:38,107,1.065665,1.064675,1.065219056,0.000929861,151515.1515,0.001142619
12/15/22 8:45,108,1.06685,1.064655,1.06556825,0.00205826,147608.2005,0.000327815
12/15/22 8:51,109,1.06645,1.064505,1.065391861,0.001827046,70437.01799,-0.000165535
12/15/22 8:58,110,1.065455,1.06415,1.064693472,0.001225358,125670.4981,-0.000655523
12/15/22 9:06,111,1.06715,1.06481,1.065650181,0.002193126,119230.7692,0.000898576
12/15/22 9:14,112,1.07238,1.06683,1.069962569,0.005177504,49549.54955,0.004046721
12/15/22 9:22,113,1.073515,1.070855,1.072075181,0.002481806,39097.74436,0.001974472
12/15/22 9:28,114,1.07217,1.070605,1.071290194,0.001461278,79872.20447,-0.000732212
12/15/22 9:36,115,1.071285,1.069545,1.070667861,0.00162686,150574.7126,-0.000580919
12/15/22 9:44,116,1.070525,1.0686,1.069809125,0.001798628,131428.5714,-0.000802056
12/15/22 9:52,117,1.07084,1.06913,1.070013833,0.001598161,118713.4503,0.00019135
12/15/22 10:00,118,1.07057,1.0697,1.070103597,0.000813058,245977.0115,8.39E-05
12/15/22 10:08,119,1.070415,1.06752,1.069165292,0.002711207,136442.1416,-0.000876836
12/15/22 10:16,120,1.06807,1.06569,1.066677514,0.002233148,68067.22689,-0.002326841
12/15/22 10:24,121,1.06653,1.06425,1.065676972,0.002142183,78508.77193,-0.000937998
12/15/22 10:30,122,1.06463,1.063725,1.064138347,0.000850596,160220.9945,-0.001443801
12/15/22 10:38,123,1.064435,1.06235,1.063545236,0.001959209,227338.1295,-0.000557363
12/15/22 10:45,124,1.0653,1.064115,1.0646035,0.001113539,108016.8776,0.000995034
12/15/22 10:54,125,1.06461,1.063175,1.063917722,0.001348754,212543.554,-0.000644163
12/15/22 11:00,126,1.06569,1.06394,1.064867611,0.001643092,124000,0.000892822
12/15/22 11:09,127,1.065685,1.064585,1.065158486,0.001032437,161818.1818,0.000273156
12/15/22 11:16,128,1.06552,1.06422,1.064850222,0.001221024,230769.2308,-0.000289407
12/15/22 11:25,129,1.064685,1.06348,1.064189222,0.001132833,200000,-0.000620745
12/15/22 11:32,130,1.064915,1.06346,1.064206597,0.001366499,167010.3093,1.63E-05
12/15/22 11:40,131,1.06539,1.063915,1.064591986,0.001386102,120677.9661,0.000362137
12/15/22 11:48,132,1.064105,1.062935,1.063375389,0.001100358,177777.7778,-0.001142783
12/15/22 11:56,133,1.064085,1.063095,1.063671417,0.000930744,218181.8182,0.000278385
12/15/22 12:03,134,1.06405,1.063255,1.063674917,0.000747539,372327.044,3.29E-06
12/15/22 12:12,135,1.06351,1.0599,1.061686861,0.0034055,60941.82825,-0.001869044
12/15/22 12:20,136,1.06058,1.05931,1.059992819,0.001197876,73228.34646,-0.001595613
12/15/22 12:29,137,1.06055,1.05982,1.0601865,0.000688342,290410.9589,0.000182719
12/15/22 12:39,138,1.06185,1.06065,1.061240333,0.001131014,362500,0.000994008
12/15/22 12:50,139,1.061295,1.06019,1.0608285,0.001042266,194570.1357,-0.000388068
12/15/22 13:00,140,1.06035,1.0596,1.060004639,0.000707567,316000,-0.00077662
12/15/22 13:09,141,1.06013,1.05957,1.059808889,0.000528486,703571.4286,-0.000184669
12/15/22 13:17,142,1.0605,1.05924,1.059884917,0.001188152,340476.1905,7.17E-05
12/15/22 13:25,143,1.06078,1.060205,1.060533597,0.000542146,347826.087,0.000612029
12/15/22 13:33,144,1.06085,1.06042,1.060609972,0.000405416,862790.6977,7.20E-05
12/15/22 13:41,145,1.06175,1.060615,1.061167306,0.00106905,436123.348,0.000525484
12/15/22 13:49,146,1.06197,1.06135,1.0615735,0.000583854,290322.5806,0.000382781
12/15/22 13:57,147,1.062055,1.06149,1.061761625,0.00053205,621238.9381,0.000177213
12/15/22 14:05,148,1.06295,1.06192,1.062439486,0.000969257,402912.6214,0.000638431
12/15/22 14:13,149,1.06285,1.06226,1.062559389,0.000555163,369491.5254,0.000112856
12/15/22 14:21,150,1.06295,1.06255,1.062743139,0.000376432,687500,0.000172932
12/15/22 14:30,151,1.06285,1.06222,1.062535694,0.000592802,853968.254,-0.000195197
12/15/22 14:39,152,1.06306,1.06189,1.062407528,0.001100762,342735.0427,-0.000120623
12/15/22 14:47,153,1.06355,1.06285,1.063246417,0.000658356,225714.2857,0.000789611
12/15/22 14:55,154,1.06385,1.06294,1.063332486,0.000856027,372527.4725,8.09E-05
12/15/22 15:04,155,1.06345,1.06281,1.063102125,0.000601945,385937.5,-0.000216641
12/15/22 15:12,156,1.06382,1.06313,1.063515,0.000648804,489855.0725,0.000388368
12/15/22 15:21,157,1.06375,1.06319,1.063420833,0.000526521,542857.1429,-8.85E-05
12/15/22 15:29,158,1.06375,1.06285,1.063254222,0.000846732,386666.6667,-0.000156675
12/15/22 15:39,159,1.06305,1.06235,1.062735444,0.000658833,318571.4286,-0.000487915
12/15/22 15:47,160,1.06265,1.062215,1.062401333,0.000409514,570114.9425,-0.000314388
12/15/22 15:56,161,1.06285,1.06215,1.062521389,0.000658827,624285.7143,0.000113004
