inserttime,period,maximum,minimum,mean,volatility,fd,return
12/14/22 21:44,1,1.239635,1.239,1.239277827,0.000512285,0,0
12/14/22 21:50,2,1.2398,1.239475,1.239607278,0.000262191,895384.6154,0.000265841
12/14/22 21:56,3,1.2398,1.2394,1.239578597,0.000322707,1715000,-2.31E-05
12/14/22 22:03,4,1.23975,1.239,1.239441583,0.00060528,718666.6667,-0.000110533
12/14/22 22:10,5,1.2396,1.239035,1.239266361,0.00045586,242477.8761,-0.000141372
12/14/22 22:19,6,1.2396,1.2393,1.239453931,0.000242029,790000,0.000151355
12/14/22 22:25,7,1.2397,1.2392,1.239383694,0.000403449,1406000,-5.67E-05
12/14/22 22:32,8,1.239465,1.2391,1.239311903,0.000294527,1095890.411,-5.79E-05
12/14/22 22:38,9,1.2394,1.2391,1.239225167,0.000242072,1150000,-7.00E-05
12/14/22 22:44,10,1.239155,1.2387,1.238926236,0.000367291,1918681.319,-0.000241224
12/14/22 22:51,11,1.239125,1.2387,1.238925333,0.000343012,1025882.353,-7.29E-07
12/14/22 22:57,12,1.2391,1.2386,1.238875569,0.000403584,914000,-4.02E-05
12/14/22 23:03,13,1.2389,1.2382,1.238650292,0.000565298,527142.8571,-0.000181841
12/14/22 23:10,14,1.2385,1.2381,1.238286986,0.00032304,770000,-0.000293308
12/14/22 23:17,15,1.2385,1.2381,1.238319708,0.000323023,1485000,2.64E-05
12/14/22 23:23,16,1.23845,1.238,1.238204764,0.000363489,1262222.222,-9.28E-05
12/14/22 23:29,17,1.23855,1.2381,1.238380986,0.000363368,955555.5556,0.000142321
12/14/22 23:35,18,1.2386,1.2379,1.238286556,0.000565357,661428.5714,-7.63E-05
12/14/22 23:41,19,1.2385,1.2381,1.238257764,0.000322971,997500,-2.33E-05
12/14/22 23:47,20,1.2386,1.23816,1.238372556,0.000355312,1179545.455,9.27E-05
12/14/22 23:53,21,1.2385,1.238,1.238289819,0.000403758,1106000,-6.68E-05
12/14/22 23:59,22,1.238415,1.2378,1.238027611,0.000496763,682926.8293,-0.00021175
12/15/22 0:06,23,1.23825,1.237745,1.238011556,0.000407904,784158.4158,-1.30E-05
12/15/22 0:12,24,1.2383,1.2378,1.238026417,0.000403859,794000,1.20E-05
12/15/22 0:18,25,1.2382,1.2378,1.237974889,0.000323154,1197500,-4.16E-05
12/15/22 0:24,26,1.2388,1.2378,1.238396194,0.000807321,484000,0.000340318
12/15/22 0:30,27,1.2388,1.2385,1.238665292,0.000242202,720000,0.000217295
12/15/22 0:37,28,1.2387,1.2383,1.238532167,0.000322954,1482500,-0.000107475
12/15/22 0:43,29,1.2389,1.2384,1.238672069,0.000403638,930000,0.000112959
12/15/22 0:49,30,1.23885,1.238375,1.238574097,0.000383536,608421.0526,-7.91E-05
12/15/22 0:55,31,1.23901,1.238215,1.238606403,0.000641649,441509.434,2.61E-05
12/15/22 1:01,32,1.23945,1.2389,1.239239736,0.000443854,490909.0909,0.000511327
12/15/22 1:08,33,1.23975,1.2391,1.239363306,0.000524449,575384.6154,9.97E-05
12/15/22 1:14,34,1.2395,1.238885,1.239240778,0.000496368,586991.8699,-9.89E-05
12/15/22 1:20,35,1.2395,1.238835,1.239179486,0.00053655,469172.9323,-4.95E-05
12/15/22 1:25,36,1.23965,1.2392,1.239357528,0.000363073,586666.6667,0.000143677
12/15/22 1:31,37,1.23984,1.2393,1.239567986,0.000435663,805555.5556,0.000169812
12/15/22 1:37,38,1.239505,1.239,1.239333958,0.000407457,871287.1287,-0.000188798
12/15/22 1:42,39,1.240045,1.2393,1.239545319,0.000600799,616107.3826,0.000170544
12/15/22 1:48,40,1.2403,1.239815,1.240064917,0.000391129,544329.8969,0.000419184
12/15/22 1:53,41,1.2401,1.239345,1.239712542,0.000609173,679470.1987,-0.000284159
12/15/22 1:59,42,1.23985,1.2393,1.239577222,0.000443643,552727.2727,-0.000109154
12/15/22 2:04,43,1.2399,1.239025,1.239367667,0.000706092,602285.7143,-0.000169054
12/15/22 2:11,44,1.2394,1.2388,1.239087028,0.000484295,553333.3333,-0.000226437
12/15/22 2:17,45,1.239025,1.2384,1.238766583,0.00050451,696000,-0.000258613
12/15/22 2:22,46,1.2389,1.238435,1.238678681,0.000375418,929032.2581,-7.10E-05
12/15/22 2:28,47,1.23885,1.238275,1.238569417,0.000464335,733913.0435,-8.82E-05
12/15/22 2:34,48,1.2389,1.23825,1.238543583,0.000524801,741538.4615,-2.09E-05
12/15/22 2:39,49,1.2392,1.238595,1.238874069,0.000488315,723966.9421,0.000266834
12/15/22 2:45,50,1.23911,1.238375,1.238829403,0.000593498,529251.7007,-3.61E-05
12/15/22 2:51,51,1.23845,1.237965,1.238174708,0.000391758,651546.3918,-0.000528478
12/15/22 2:56,52,1.23836,1.237685,1.237922236,0.000545089,684444.4444,-0.000203907
12/15/22 3:02,53,1.238445,1.23772,1.238137417,0.000585657,594482.7586,0.000173824
12/15/22 3:08,54,1.238525,1.236985,1.237948681,0.001244656,381818.1818,-0.000152436
12/15/22 3:13,55,1.23767,1.236875,1.237323986,0.000642699,285534.5912,-0.000504621
12/15/22 3:19,56,1.237295,1.2364,1.236830958,0.000723785,478212.2905,-0.000398463
12/15/22 3:25,57,1.23673,1.23584,1.236243431,0.000719663,482022.4719,-0.000475027
12/15/22 3:31,58,1.236855,1.235535,1.2363505,0.001068259,279545.4545,8.66E-05
12/15/22 3:37,59,1.2362,1.23521,1.235766472,0.000801451,245454.5455,-0.00047238
12/15/22 3:43,60,1.235315,1.233265,1.234075472,0.001662059,117073.1707,-0.001368382
12/15/22 3:48,61,1.2341,1.232715,1.233514097,0.001123536,143682.3105,-0.000454895
12/15/22 3:54,62,1.233005,1.23209,1.232567278,0.000742445,306010.929,-0.000767579
12/15/22 3:59,63,1.232915,1.2312,1.232196347,0.001392554,268804.6647,-0.000300941
12/15/22 4:05,64,1.231705,1.23035,1.231051944,0.001100838,167527.6753,-0.00092875
12/15/22 4:11,65,1.23076,1.22965,1.230363056,0.000902377,223423.4234,-0.000559594
12/15/22 4:17,66,1.2312,1.229985,1.230665306,0.000987167,298765.4321,0.000245659
12/15/22 4:23,67,1.23165,1.230805,1.231405556,0.000686169,337278.1065,0.000601504
12/15/22 4:29,68,1.23193,1.231365,1.231626694,0.000458636,729203.5398,0.000179583
12/15/22 4:36,69,1.232805,1.23163,1.232293458,0.000953219,500425.5319,0.000541368
12/15/22 4:42,70,1.23345,1.232415,1.232823403,0.000839522,303381.6425,0.000430047
12/15/22 4:48,71,1.233655,1.232305,1.233009986,0.001094358,333333.3333,0.000151346
12/15/22 4:55,72,1.23435,1.233465,1.233841792,0.000717238,249717.5141,0.000674614
12/15/22 5:01,73,1.234085,1.233335,1.233749806,0.000608051,500000,-7.46E-05
12/15/22 5:07,74,1.233955,1.23335,1.233625917,0.000490419,656198.3471,-0.000100417
12/15/22 5:13,75,1.23417,1.2335,1.233753597,0.000543086,738805.9701,0.0001035
12/15/22 5:20,76,1.23548,1.233615,1.234666708,0.001509914,249329.7587,0.000740108
12/15/22 5:26,77,1.23539,1.23336,1.234132472,0.001645804,109852.2167,-0.000432697
12/15/22 5:32,78,1.23394,1.232945,1.2335005,0.000806726,164824.1206,-0.000512078
12/15/22 5:39,79,1.234035,1.2333,1.233649681,0.000595759,488435.3741,0.000120941
12/15/22 5:45,80,1.2343,1.23315,1.233769958,0.000932261,440000,9.75E-05
12/15/22 5:51,81,1.2336,1.23302,1.233364417,0.000470298,337931.0345,-0.000328701
12/15/22 5:57,82,1.233665,1.233015,1.2333065,0.000527105,683076.9231,-4.70E-05
12/15/22 6:04,83,1.233555,1.23292,1.233218653,0.000514923,740157.4803,-7.12E-05
12/15/22 6:09,84,1.233315,1.232155,1.232536583,0.000940883,421551.7241,-0.000553081
12/15/22 6:16,85,1.234245,1.23283,1.233498028,0.001146594,220494.6996,0.000780053
12/15/22 6:22,86,1.234475,1.2336,1.233877639,0.000708967,256000,0.000307752
12/15/22 6:29,87,1.23435,1.233705,1.234050847,0.000522542,592248.062,0.000140377
12/15/22 6:35,88,1.2345,1.233485,1.234058,0.000822762,474876.8473,5.80E-06
12/15/22 6:41,89,1.234415,1.2335,1.233894583,0.000741263,314754.0984,-0.000132422
12/15/22 6:47,90,1.2346,1.234005,1.234344861,0.000481949,544537.8151,0.000364924
12/15/22 6:53,91,1.23517,1.23436,1.234750431,0.000656197,781481.4815,0.000328571
12/15/22 7:00,92,1.23467,1.229265,1.233998528,0.004396936,103792.7845,-0.000608951
12/15/22 7:06,93,1.23289,1.228585,1.231577278,0.003496319,45528.45528,-0.001962117
12/15/22 7:13,94,1.23163,1.23,1.230751236,0.001324159,73006.13497,-0.000670719
12/15/22 7:20,95,1.232145,1.229615,1.230820431,0.00205348,118181.8182,5.62E-05
12/15/22 7:26,96,1.233145,1.23202,1.232463264,0.000912468,144888.8889,0.001334747
12/15/22 7:33,97,1.23365,1.23158,1.232601139,0.001680768,191787.4396,0.000111869
12/15/22 7:39,98,1.233165,1.23162,1.232204208,0.001253377,119093.8511,-0.000322027
12/15/22 7:45,99,1.23346,1.232585,1.233087153,0.00070947,256000,0.000716557
12/15/22 7:51,100,1.2334,1.23191,1.232582861,0.001209102,287919.4631,-0.000408967
12/15/22 7:58,101,1.2323,1.23114,1.231868528,0.000941826,201724.1379,-0.000579542
12/15/22 8:05,102,1.23171,1.23003,1.230832306,0.001364861,203571.4286,-0.000841179
12/15/22 8:11,103,1.231265,1.23072,1.230946931,0.00044267,306422.0183,9.31E-05
12/15/22 8:17,104,1.23283,1.231,1.231653097,0.001486017,497814.2077,0.000573678
12/15/22 8:24,105,1.23156,1.229975,1.230699958,0.001288529,186750.7886,-0.00077387
12/15/22 8:31,106,1.231995,1.228945,1.229996986,0.00247578,122295.082,-0.000571197
12/15/22 8:38,107,1.23233,1.22994,1.231383,0.001943137,68619.24686,0.001126843
12/15/22 8:45,108,1.23233,1.22992,1.230973014,0.001956304,72199.17012,-0.000332948
12/15/22 8:51,109,1.2325,1.231595,1.232004139,0.000734772,176795.5801,0.00083765
12/15/22 8:58,110,1.23245,1.2313,1.231787542,0.000933749,498260.8696,-0.000175809
12/15/22 9:06,111,1.23245,1.230885,1.231606583,0.001270014,260702.8754,-0.000146907
12/15/22 9:14,112,1.2347,1.232215,1.233577236,0.002013385,168611.67,0.001600067
12/15/22 9:22,113,1.235575,1.2336,1.234424181,0.001600953,129620.2532,0.000686576
12/15/22 9:28,114,1.23424,1.232235,1.233151514,0.001626933,123690.7731,-0.00103098
12/15/22 9:36,115,1.232625,1.229715,1.231668569,0.002366402,102749.1409,-0.001202565
12/15/22 9:44,116,1.23213,1.22906,1.230891736,0.002491853,71009.77199,-0.000630716
12/15/22 9:52,117,1.232545,1.230585,1.231575444,0.001591503,90816.32653,0.000555458
12/15/22 10:00,118,1.23215,1.23,1.231234486,0.001747563,124651.1628,-0.000276847
12/15/22 10:08,119,1.230665,1.22641,1.228959028,0.003468189,66980.0235,-0.001848111
12/15/22 10:16,120,1.22714,1.2248,1.225832181,0.001910469,56410.25641,-0.002544306
12/15/22 10:24,121,1.22576,1.223885,1.224976083,0.001531744,121066.6667,-0.00069838
12/15/22 10:30,122,1.224555,1.223445,1.223913028,0.000907222,207207.2072,-0.000867817
12/15/22 10:38,123,1.224755,1.222155,1.223428653,0.002124053,178461.5385,-0.000395759
12/15/22 10:45,124,1.224875,1.223535,1.224081972,0.001095044,107462.6866,0.000534007
12/15/22 10:54,125,1.224175,1.221895,1.222888097,0.001865939,168859.6491,-0.000975323
12/15/22 11:00,126,1.222895,1.221455,1.222076208,0.001178059,109722.2222,-0.000663911
12/15/22 11:09,127,1.222465,1.22111,1.221663861,0.001108915,205904.059,-0.000337415
12/15/22 11:16,128,1.222015,1.220605,1.221364389,0.00115489,201418.4397,-0.000245135
12/15/22 11:25,129,1.22157,1.220405,1.220951458,0.000954492,242060.0858,-0.00033809
12/15/22 11:32,130,1.22226,1.220475,1.221381333,0.001460989,201680.6723,0.000352082
12/15/22 11:40,131,1.222005,1.220885,1.221408167,0.000917236,186607.1429,2.20E-05
12/15/22 11:48,132,1.221675,1.2204,1.220901389,0.001043811,280000,-0.000414913
12/15/22 11:56,133,1.222005,1.221035,1.221584042,0.000794314,307216.4948,0.000559138
12/15/22 12:03,134,1.221165,1.220225,1.220689194,0.000769895,386170.2128,-0.00073253
12/15/22 12:12,135,1.220945,1.218015,1.219119306,0.002405188,95563.13993,-0.001286068
12/15/22 12:21,136,1.2189,1.217585,1.218142861,0.00107967,107984.7909,-0.000800942
12/15/22 12:29,137,1.218745,1.217845,1.218275819,0.000738465,345555.5556,0.000109148
12/15/22 12:39,138,1.219435,1.21842,1.218971736,0.000832899,429556.6502,0.000571231
12/15/22 12:50,139,1.219575,1.217965,1.218892292,0.001321725,219875.7764,-6.52E-05
12/15/22 13:00,140,1.21835,1.215675,1.216638111,0.002199139,113644.8598,-0.001849368
12/15/22 13:09,141,1.216705,1.2158,1.216271389,0.0007441,181215.4696,-0.000301423
12/15/22 13:17,142,1.217505,1.216035,1.216910653,0.001207462,248979.5918,0.000525593
12/15/22 13:25,143,1.2176,1.2168,1.217198417,0.000657222,321250,0.000236471
12/15/22 13:33,144,1.2176,1.217195,1.217379444,0.000332653,698765.4321,0.000148725
12/15/22 13:41,145,1.217745,1.21735,1.217519417,0.000324381,1384810.127,0.000114978
12/15/22 13:49,146,1.2179,1.2174,1.217639028,0.000410629,1256000,9.82E-05
12/15/22 13:57,147,1.217955,1.2174,1.217644653,0.000455742,922522.5225,4.62E-06
12/15/22 14:05,148,1.2192,1.2177,1.218486889,0.001230512,274666.6667,0.000691693
12/15/22 14:13,149,1.219015,1.218535,1.218800597,0.000393866,387500,0.000257457
12/15/22 14:21,150,1.2188,1.218155,1.218471194,0.000529489,750387.5969,-0.000270268
12/15/22 14:30,151,1.2182,1.217035,1.217705319,0.000956843,376824.0343,-0.000628554
12/15/22 14:39,152,1.218425,1.217215,1.217681667,0.00099342,272727.2727,-1.94E-05
12/15/22 14:47,153,1.21901,1.218055,1.218661014,0.000783429,265968.5864,0.000804272
12/15/22 14:55,154,1.219285,1.218065,1.218939514,0.001001054,249180.3279,0.00022853
12/15/22 15:04,155,1.219605,1.2185,1.219096736,0.000906183,206334.8416,0.000128983
12/15/22 15:12,156,1.219485,1.2189,1.219231903,0.000479821,381196.5812,0.000110874
12/15/22 15:21,157,1.2193,1.218765,1.219041972,0.000438841,786915.8879,-0.000155779
12/15/22 15:29,158,1.21935,1.2188,1.218981125,0.000451214,760000,-4.99E-05
12/15/22 15:39,159,1.2192,1.218155,1.218642917,0.000857672,448803.8278,-0.000277452
12/15/22 15:47,160,1.2186,1.217985,1.218255972,0.000504932,388617.8862,-0.000317521
12/15/22 15:56,161,1.2183,1.217795,1.218053,0.000414681,639603.9604,-0.000166609
