inserttime,period,maximum,minimum,mean,volatility,fd,return
12/14/22 21:44,1,1.46265,1.46175,1.462083375,0.000615606,0,0
12/14/22 21:50,2,1.4622022,1.46113395,1.461740008,0.00073071,537327.4046,-0.000234848
12/14/22 21:56,3,1.4622022,1.4613475,1.461783813,0.000584773,576810.5768,3.00E-05
12/14/22 22:03,4,1.463115,1.4613475,1.46202427,0.001208064,312305.5163,0.000164495
12/14/22 22:10,5,1.4631327,1.46238385,1.4628008,0.00051203,279094.6117,0.000531134
12/14/22 22:19,6,1.4626619,1.46187075,1.462348784,0.00054119,774821.4624,-0.000309007
12/14/22 22:25,7,1.4622022,1.46113395,1.461684297,0.00073101,577580.1545,-0.000454397
12/14/22 22:32,8,1.4619884,1.4609205,1.461389702,0.000730663,346474.389,-0.000201545
12/14/22 22:38,9,1.46265,1.46155,1.462171342,0.000752559,192727.2727,0.000534861
12/14/22 22:44,10,1.462465,1.46156105,1.462093541,0.000618189,505558.9358,-5.32E-05
12/14/22 22:51,11,1.4628439,1.462,1.4623922,0.000577063,619741.6756,0.000204268
12/14/22 22:57,12,1.46265,1.46177475,1.462392227,0.000598649,514138.8175,1.81E-08
12/14/22 23:03,13,1.46265,1.46177475,1.46223737,0.000598535,629534.4187,-0.000105893
12/14/22 23:10,14,1.46305,1.462,1.46255235,0.00071768,548571.4286,0.000215409
12/14/22 23:17,15,1.46370035,1.46262995,1.46325154,0.000731474,486733.9312,0.000478062
12/14/22 23:23,16,1.4645578,1.46305,1.464040039,0.00102979,403236.5035,0.000538868
12/14/22 23:29,17,1.464395,1.463272,1.463769064,0.000767194,301869.9911,-0.000185087
12/14/22 23:35,18,1.46477235,1.46348615,1.464217945,0.000878089,329653.2421,0.000306661
12/14/22 23:41,19,1.46477235,1.4639,1.464418336,0.000595641,455092.5661,0.000136859
12/14/22 23:47,20,1.465,1.46412895,1.464529567,0.000594749,706044.4291,7.60E-05
12/14/22 23:53,21,1.4654163,1.4645578,1.465098504,0.000585913,457775.1893,0.000388478
12/14/22 23:59,22,1.46584595,1.465,1.465495636,0.000577334,687983.9234,0.000271062
12/15/22 0:06,23,1.46606085,1.46477235,1.465317476,0.000879618,552580.52,-0.00012157
12/15/22 0:12,24,1.4652016,1.46412895,1.464732405,0.000732367,472661.1663,-0.000399279
12/15/22 0:18,25,1.4652016,1.46434335,1.464749908,0.000585756,688610.5447,1.19E-05
