inserttime,period,maximum,minimum,mean,volatility,fd,return
12/14/22 21:44,1,1.35735,1.35691,1.357121504,0.000324266,0,0
12/14/22 21:50,2,1.35705,1.35674,1.356880431,0.00022847,1364516.129,-0.000177636
12/14/22 21:56,3,1.35705,1.356565,1.356791736,0.000357517,1754639.175,-6.54E-05
12/14/22 22:03,4,1.357005,1.35645,1.356662458,0.000409002,738738.7387,-9.53E-05
12/14/22 22:10,5,1.35696,1.355875,1.356457417,0.000800177,238709.6774,-0.000151137
12/14/22 22:19,6,1.35605,1.35565,1.355875,0.000295024,420000,-0.000429366
12/14/22 22:25,7,1.35595,1.35555,1.355755375,0.000295066,1220000,-8.82E-05
12/14/22 22:32,8,1.35585,1.355485,1.355641917,0.000269224,1715068.493,-8.37E-05
12/14/22 22:38,9,1.35605,1.35565,1.355808292,0.000295053,837500,0.000122728
12/14/22 22:44,10,1.35595,1.35565,1.355784556,0.00022128,1770000,-1.75E-05
12/14/22 22:51,11,1.35595,1.35565,1.355746694,0.000221294,1926666.667,-2.79E-05
12/14/22 22:57,12,1.35615,1.35565,1.355819194,0.00036873,1302000,5.35E-05
12/14/22 23:03,13,1.35675,1.356,1.356311125,0.000552832,534666.6667,0.000362829
12/14/22 23:10,14,1.35685,1.35645,1.356586181,0.000294868,465000,0.000202797
12/14/22 23:17,15,1.35668,1.35585,1.356213569,0.000612027,710843.3735,-0.000274668
12/14/22 23:23,16,1.356095,1.355515,1.355737917,0.000427792,410344.8276,-0.000350721
12/14/22 23:29,17,1.35605,1.35565,1.355801625,0.000295053,977500,4.70E-05
12/14/22 23:35,18,1.35625,1.35565,1.355881944,0.000442462,823333.3333,5.92E-05
12/14/22 23:41,19,1.35625,1.35585,1.356003458,0.000294971,935000,8.96E-05
12/14/22 23:47,20,1.35635,1.35595,1.356064194,0.000294965,1270000,4.48E-05
12/14/22 23:53,21,1.35645,1.35595,1.356152722,0.000368708,1220000,6.53E-05
12/14/22 23:59,22,1.35645,1.35605,1.356282208,0.000294931,910000,9.55E-05
12/15/22 0:06,23,1.35655,1.35608,1.356291972,0.000346544,1046808.511,7.20E-06
12/15/22 0:12,24,1.35645,1.35595,1.356148125,0.00036868,906000,-0.000106059
12/15/22 0:18,25,1.356535,1.35605,1.356297778,0.000357538,771134.0206,0.000110351
12/15/22 0:24,26,1.35655,1.35595,1.356180597,0.000442475,783333.3333,-8.64E-05
12/15/22 0:30,27,1.35625,1.35585,1.356047625,0.000294977,1010000,-9.80E-05
12/15/22 0:37,28,1.35625,1.35575,1.356026722,0.000368726,1288000,-1.54E-05
12/15/22 0:43,29,1.35615,1.35565,1.355921514,0.000368756,960000,-7.76E-05
12/15/22 0:49,30,1.35655,1.355905,1.356215014,0.000475576,620155.0388,0.000216458
12/15/22 0:55,31,1.35645,1.35589,1.356152139,0.000413008,641071.4286,-4.64E-05
12/15/22 1:01,32,1.35615,1.355765,1.355924472,0.000283911,794805.1948,-0.000167877
12/15/22 1:08,33,1.35625,1.35565,1.355944792,0.000442517,975000,1.50E-05
12/15/22 1:14,34,1.35625,1.3557,1.355927889,0.000405569,820000,-1.25E-05
12/15/22 1:20,35,1.35625,1.35572,1.355915153,0.000390841,603773.5849,-9.39E-06
12/15/22 1:25,36,1.35625,1.355715,1.355976153,0.000394511,650467.2897,4.50E-05
12/15/22 1:31,37,1.35625,1.35594,1.35603075,0.000228612,1235483.871,4.03E-05
12/15/22 1:37,38,1.35635,1.35585,1.356058875,0.000368732,1358000,2.07E-05
12/15/22 1:42,39,1.35625,1.355625,1.355981958,0.000460965,700800,-5.67E-05
12/15/22 1:48,40,1.35585,1.355525,1.355665653,0.000239722,996923.0769,-0.000233267
12/15/22 1:53,41,1.35635,1.355705,1.356029167,0.000475609,775193.7984,0.000268144
12/15/22 1:59,42,1.35635,1.355885,1.356084181,0.000342944,666666.6667,4.06E-05
12/15/22 2:04,43,1.35685,1.355905,1.356321,0.000696684,679365.0794,0.000174635
12/15/22 2:11,44,1.35695,1.356275,1.356525194,0.000497628,333333.3333,0.00015055
