inserttime,period,maximum,minimum,mean,volatility,fd,return
12/14/22 21:44,1,0.92562955,0.9250948,0.925361354,0.000578024,0,0
12/14/22 21:50,2,0.9252,0.9249,0.925089138,0.000324266,730000,-0.000294173
12/14/22 21:56,3,0.9258,0.925135,0.925401041,0.00071843,781954.8872,0.00033716
12/14/22 22:03,4,0.9259,0.9255,0.925664011,0.000432019,635000,0.000284169
12/14/22 22:10,5,0.9259,0.9256,0.925805977,0.000324056,900000,0.000153366
12/14/22 22:19,6,0.9259,0.925325,0.925575798,0.000621387,787826.087,-0.000248625
12/14/22 22:25,7,0.9258,0.9252,0.925445038,0.000648211,403333.3333,-0.000141275
12/14/22 22:32,8,0.9259,0.92555,0.925717534,0.000378086,825714.2857,0.000294449
12/14/22 22:38,9,0.92580505,0.9255,0.925678923,0.000329554,855597.443,-4.17E-05
12/14/22 22:44,10,0.9259,0.92555,0.925746921,0.00037807,1271428.571,7.35E-05
12/14/22 22:51,11,0.9259,0.9255,0.925692703,0.000432105,937500,-5.86E-05
12/14/22 22:57,12,0.92589825,0.92545,0.925644587,0.000484241,914668.1539,-5.20E-05
12/14/22 23:03,13,0.925805,0.9255,0.92566756,0.000329454,1114754.098,2.48E-05
12/14/22 23:10,14,0.9263,0.9256,0.925903416,0.000755993,807142.8571,0.000254796
12/14/22 23:17,15,0.9263,0.9258,0.926096337,0.000539913,368000,0.00020836
12/14/22 23:23,16,0.9262,0.9258,0.926022874,0.000431984,717500,-7.93E-05
12/14/22 23:29,17,0.9261,0.9257,0.925833905,0.000432047,732500,-0.000204065
12/14/22 23:35,18,0.9262,0.9257,0.925941104,0.000539893,606000,0.000115786
12/14/22 23:41,19,0.9263,0.9258,0.926041763,0.000539869,566000,0.00010871
12/14/22 23:47,20,0.9263,0.9259,0.926078384,0.0004319,747500,3.95E-05
12/14/22 23:53,21,0.9264,0.926,0.9261907,0.000431884,755000,0.000121282
12/14/22 23:59,22,0.9264,0.9261,0.926288486,0.000323915,1090000,0.000105578
12/15/22 0:06,23,0.9264,0.926,0.926285389,0.000431814,1555000,-3.34E-06
12/15/22 0:12,24,0.9264,0.926,0.926246195,0.000431874,970000,-4.23E-05
12/15/22 0:18,25,0.92642185,0.926,0.92624414,0.000455365,1116510.608,-2.22E-06
12/15/22 0:24,26,0.9264,0.9259,0.92620499,0.000540015,732000,-4.23E-05
12/15/22 0:30,27,0.9262,0.9258,0.926006918,0.000431919,812500,-0.000213853
12/15/22 0:37,28,0.9263,0.926,0.926117172,0.000323953,1243333.333,0.000119064
12/15/22 0:43,29,0.9261,0.9257,0.925965403,0.000431965,1027500,-0.000163877
12/15/22 0:49,30,0.9263,0.9259,0.926066635,0.000431884,902500,0.000109327
12/15/22 0:55,31,0.9264,0.9255,0.925987184,0.00097239,465555.5556,-8.58E-05
12/15/22 1:01,32,0.9257,0.9253,0.925464098,0.000432171,482500,-0.000564895
12/15/22 1:08,33,0.9257,0.92529,0.925497028,0.0004431,1039024.39,3.56E-05
12/15/22 1:14,34,0.9257,0.9252,0.925454751,0.00054019,866000,-4.57E-05
12/15/22 1:20,35,0.9257,0.9253,0.925538667,0.000432166,1095000,9.07E-05
12/15/22 1:25,36,0.9257,0.9251,0.925447156,0.000648298,798333.3333,-9.89E-05
12/15/22 1:31,37,0.9256,0.9251,0.925268516,0.000540421,638000,-0.000193031
12/15/22 1:37,38,0.9257,0.9251,0.925444366,0.000648351,651666.6667,0.000190053
12/15/22 1:42,39,0.9256,0.9252,0.925411401,0.000432278,762500,-3.56E-05
12/15/22 1:48,40,0.9256,0.92519,0.925349698,0.000443064,1182926.829,-6.67E-05
12/15/22 1:53,41,0.9258,0.9252,0.925558688,0.000648298,803333.3333,0.00022585
12/15/22 1:59,42,0.9259,0.9254,0.925590751,0.000540068,612000,3.46E-05
12/15/22 2:04,43,0.9261,0.9257,0.925916981,0.000432012,785000,0.000352456
12/15/22 2:11,44,0.9265,0.9259,0.926179045,0.000647609,773333.3333,0.000283032
12/15/22 2:17,45,0.9271,0.926495,0.926738316,0.000652911,474380.1653,0.000603847
12/15/22 2:22,46,0.92691,0.9264,0.926645922,0.00055031,605882.3529,-9.97E-05
12/15/22 2:28,47,0.9272,0.9266,0.926870658,0.000647312,576666.6667,0.000242526
12/15/22 2:34,48,0.9272,0.92624,0.926673596,0.00103637,391666.6667,-0.00021261
12/15/22 2:39,49,0.9268,0.9262,0.926513441,0.000647459,278333.3333,-0.000172828
12/15/22 2:45,50,0.92699,0.9265,0.926663706,0.000528872,455102.0408,0.000162183
12/15/22 2:51,51,0.9268,0.9264,0.926594235,0.000431651,787500,-7.50E-05
12/15/22 2:56,52,0.926915,0.9265,0.926724588,0.000447891,975903.6145,0.00014068
12/15/22 3:02,53,0.9267,0.92564,0.926317249,0.001145005,444339.6226,-0.000439547
12/15/22 3:08,54,0.92641,0.9255,0.925869827,0.000982286,150549.4505,-0.000483012
12/15/22 3:13,55,0.9265,0.92522,0.925909656,0.001382319,174218.75,4.30E-05
12/15/22 3:19,56,0.92652,0.92576,0.926070775,0.000820274,194736.8421,0.000174011
12/15/22 3:25,57,0.92717,0.926285,0.926761451,0.000955383,274576.2712,0.000745813
