inserttime,period,maximum,minimum,mean,volatility,fd,return
12/14/22 21:44,1,7.7763,7.775765,7.775940404,6.88E-05,0,0
12/14/22 21:50,2,7.77615,7.7758,7.775941986,4.50E-05,6905714.286,2.03E-07
12/14/22 21:56,3,7.77625,7.77575,7.77598725,6.43E-05,4790000,5.82E-06
12/14/22 22:03,4,7.777235,7.77599,7.776343306,0.000160093,833734.9398,4.58E-05
12/14/22 22:10,5,7.777395,7.776715,7.776954639,8.74E-05,10294.11765,7.86E-05
12/14/22 22:19,6,7.778505,7.776835,7.77719875,0.000214698,938323.3533,3.14E-05
12/14/22 22:25,7,7.77885,7.776595,7.777429042,0.000289948,522394.6785,2.96E-05
12/14/22 22:32,8,7.778035,7.776125,7.777376,0.000245624,708900.5236,-6.82E-06
12/14/22 22:38,9,7.77655,7.775275,7.776030208,0.00016398,0,-0.000173039
12/14/22 22:44,10,7.77566,7.775,7.775471917,8.49E-05,77272.72727,-7.18E-05
12/14/22 22:51,11,7.77566,7.77525,7.775442236,5.27E-05,5390243.902,-3.82E-06
12/14/22 22:57,12,7.77555,7.775165,7.775349972,4.95E-05,4963636.364,-1.19E-05
12/14/22 23:03,13,7.77625,7.775165,7.775666639,0.000139529,1984331.797,4.07E-05
12/14/22 23:10,14,7.7768,7.77563,7.776073597,0.000150452,578632.4786,5.23E-05
12/14/22 23:17,15,7.777665,7.776395,7.776949292,0.000163301,19685.03937,0.000112614
12/14/22 23:23,16,7.77725,7.77684,7.776985194,5.27E-05,2500000,4.62E-06
12/14/22 23:29,17,7.77735,7.776825,7.777081319,6.75E-05,4017142.857,1.24E-05
12/14/22 23:35,18,7.77735,7.776815,7.777122389,6.88E-05,3446728.972,5.28E-06
12/14/22 23:41,19,7.77725,7.77679,7.776944986,5.91E-05,2650000,-2.28E-05
12/14/22 23:47,20,7.77725,7.77681,7.776935681,5.66E-05,2509090.909,-1.20E-06
12/14/22 23:53,21,7.77725,7.776825,7.776994722,5.46E-05,6402352.941,7.59E-06
