inserttime,period,maximum,minimum,mean,volatility,fd,return
12/14/22 21:44,1,1.5523133,1.5511094,1.551918853,0.000776089,0,0
12/14/22 21:50,2,1.55129,1.55047,1.550962388,0.000528657,231707.3171,-0.000616311
12/14/22 21:56,3,1.55135,1.55059,1.551011966,0.00049,301315.7895,3.20E-05
12/14/22 22:03,4,1.5517,1.55054,1.550996514,0.000747582,240517.2414,-9.96E-06
12/14/22 22:10,5,1.55163,1.55095,1.551339204,0.000438399,180882.3529,0.000220948
12/14/22 22:19,6,1.55135,1.55042,1.550905612,0.000599837,330107.5269,-0.000279495
12/14/22 22:25,7,1.55086885,1.55021,1.550502649,0.000425007,285345.6781,-0.000259824
12/14/22 22:32,8,1.55054,1.54990735,1.550201841,0.000408019,428356.9114,-0.000194007
12/14/22 22:38,9,1.55078,1.5503,1.55055094,0.000309608,231250,0.000225196
12/14/22 22:44,10,1.55122,1.55035,1.550803742,0.00056091,550574.7126,0.00016304
12/14/22 22:51,11,1.55112,1.55069,1.55095202,0.000277253,458139.5349,9.56E-05
12/14/22 22:57,12,1.55153,1.55086885,1.551174595,0.000426235,414429.4033,0.000143509
12/14/22 23:03,13,1.55148,1.55095,1.551240455,0.00034164,432075.4717,4.25E-05
12/14/22 23:10,14,1.55148,1.55119,1.551348863,0.000186927,855172.4138,6.99E-05
12/14/22 23:17,15,1.55218,1.55134,1.551877179,0.000541241,235714.2857,0.000340553
12/14/22 23:23,16,1.55257,1.55201,1.552358352,0.000360739,364285.7143,0.000310059
12/14/22 23:29,17,1.55252,1.55189,1.552200894,0.000405886,396825.3968,-0.000101432
12/14/22 23:35,18,1.55329,1.55215635,1.552687119,0.000729998,224055.0434,0.000313249
12/14/22 23:41,19,1.5530724,1.55266,1.55288066,0.000265554,230358.8749,0.000124649
12/14/22 23:47,20,1.55329,1.55271,1.5530342,0.000373442,467241.3793,9.89E-05
12/14/22 23:53,21,1.55375,1.5531,1.553370992,0.000418475,352307.6923,0.00021686
12/14/22 23:59,22,1.55413,1.55326,1.55382768,0.000559903,259770.1149,0.000293998
12/15/22 0:06,23,1.55462,1.55372,1.554011767,0.000579255,281111.1111,0.000118473
12/15/22 0:12,24,1.55387,1.55314,1.553533145,0.000469919,252054.7945,-0.000307991
12/15/22 0:18,25,1.5536032,1.55322,1.553404009,0.000246687,446242.1712,-8.31E-05
12/15/22 0:24,26,1.55343,1.5525178,1.553028712,0.000587489,414382.8108,-0.000241597
12/15/22 0:30,27,1.55351905,1.55266,1.553004917,0.00055307,214190.0937,-1.53E-05
12/15/22 0:37,28,1.55351905,1.553,1.553220579,0.000334194,396878.9134,0.000138867
12/15/22 0:43,29,1.55336,1.55237,1.553029472,0.000637436,274747.4747,-0.000123039
12/15/22 0:49,30,1.55348,1.553,1.553290081,0.000309018,393750,0.000167806
12/15/22 0:55,31,1.55372,1.55271,1.553179353,0.000650467,408910.8911,-7.13E-05
12/15/22 1:01,32,1.5529,1.55223,1.552579749,0.000431456,326865.6716,-0.000386049
12/15/22 1:08,33,1.55339,1.55269,1.552965201,0.000450775,367142.8571,0.000248265
12/15/22 1:14,34,1.55396,1.5528433,1.553341607,0.000718616,191636.0706,0.000242379
12/15/22 1:20,35,1.55411,1.55355,1.553793168,0.000360386,217857.1429,0.000290703
12/15/22 1:25,36,1.55408,1.55358,1.553922365,0.000321734,448000,8.31E-05
12/15/22 1:31,37,1.55418,1.55382,1.553961118,0.00023168,702777.7778,2.49E-05
12/15/22 1:37,38,1.55445,1.55387,1.554213832,0.00037318,663793.1034,0.000162626
12/15/22 1:42,39,1.55448505,1.55372,1.554194004,0.000492383,410430.6908,-1.28E-05
12/15/22 1:48,40,1.55377,1.5530365,1.553455062,0.000472193,316291.7519,-0.000475451
12/15/22 1:53,41,1.5543,1.55331,1.553840408,0.000636951,238383.8384,0.000248058
12/15/22 1:59,42,1.55452,1.55261,1.553626902,0.001230147,113612.5654,-0.000137406
12/15/22 2:04,43,1.55493,1.55266,1.553866687,0.001460916,78414.09692,0.000154339
12/15/22 2:11,44,1.55433,1.55346,1.553836119,0.000559842,147126.4368,-1.97E-05
12/15/22 2:17,45,1.55472675,1.55346,1.553991561,0.000815123,259719.7553,0.000100037
12/15/22 2:22,46,1.55493,1.55396,1.554356723,0.000624111,218556.701,0.000234984
12/15/22 2:28,47,1.55479,1.55401,1.554380036,0.000501856,314102.5641,1.50E-05
12/15/22 2:34,48,1.55425,1.5536,1.553931568,0.000418351,547692.3077,-0.000288519
12/15/22 2:39,49,1.55551,1.55355,1.554263647,0.001260191,157142.8571,0.000213702
12/15/22 2:45,50,1.55655,1.55471,1.555605207,0.001182398,107065.2174,0.000863148
12/15/22 2:51,51,1.55677,1.55597,1.556201462,0.000513901,190000,0.000383295
12/15/22 2:56,52,1.55822,1.5565,1.557587284,0.001104178,76162.7907,0.000890516
12/15/22 3:02,53,1.55832,1.55689,1.557664356,0.000918327,150349.6503,4.95E-05
12/15/22 3:08,54,1.55716,1.55621,1.556523342,0.000610324,236842.1053,-0.000732516
