inserttime,period,maximum,minimum,mean,volatility,fd,return
12/14/22 21:44,1,1.3494,1.348905,1.34919493,0.000366913,0,0
12/14/22 21:50,2,1.3492,1.3488,1.348963556,0.000296524,1130000,-0.000171491
12/14/22 21:56,3,1.3491,1.3486,1.348858972,0.000370718,1180000,-7.75E-05
12/14/22 22:03,4,1.3494,1.3486,1.348907583,0.000592944,625000,3.60E-05
12/14/22 22:10,5,1.3492,1.3488,1.349031375,0.000296546,412500,9.18E-05
12/14/22 22:19,6,1.349025,1.3486,1.348775319,0.000315082,842352.9412,-0.000189807
12/14/22 22:25,7,1.349105,1.348645,1.348879722,0.000341068,1284782.609,7.74E-05
12/14/22 22:32,8,1.349045,1.3486,1.34882875,0.000329898,1128089.888,-3.78E-05
12/14/22 22:38,9,1.349,1.3486,1.348796319,0.000296585,757500,-2.40E-05
12/14/22 22:44,10,1.3489,1.3486,1.348773931,0.00022242,1676666.667,-1.66E-05
12/14/22 22:51,11,1.349,1.3486,1.348733667,0.000296595,1845000,-2.99E-05
12/14/22 22:57,12,1.348815,1.348585,1.348722639,0.000170522,1752173.913,-8.18E-06
12/14/22 23:03,13,1.3489,1.3486,1.348729778,0.00022243,2870000,5.29E-06
12/14/22 23:10,14,1.34884,1.3485,1.34868125,0.000252107,2264705.882,-3.60E-05
12/14/22 23:17,15,1.3489,1.348595,1.348707125,0.000226145,2190163.934,1.92E-05
12/14/22 23:23,16,1.3491,1.3485,1.348758875,0.000444804,898333.3333,3.84E-05
12/14/22 23:29,17,1.349,1.3486,1.348762639,0.000296568,665000,2.79E-06
12/14/22 23:35,18,1.3491,1.3486,1.348867819,0.000370663,996000,7.80E-05
12/14/22 23:41,19,1.3494,1.3488,1.349097931,0.000444673,625000,0.000170596
12/14/22 23:47,20,1.3495,1.3491,1.349271403,0.00029644,735000,0.000128584
12/14/22 23:53,21,1.34957,1.3492,1.349422375,0.000274187,1097297.297,0.000111892
12/14/22 23:59,22,1.3499,1.3494,1.349624014,0.000370432,1136000,0.000149426
12/15/22 0:06,23,1.350385,1.349385,1.349724736,0.000740974,561000,7.46E-05
12/15/22 0:12,24,1.3498,1.349375,1.349569333,0.00031493,562352.9412,-0.000115137
12/15/22 0:18,25,1.3497,1.3493,1.349523917,0.000296406,1300000,-3.37E-05
12/15/22 0:24,26,1.3496,1.3491,1.349289306,0.000370591,1142000,-0.000173847
12/15/22 0:30,27,1.349345,1.349025,1.349181278,0.000237162,1275000,-8.01E-05
12/15/22 0:37,28,1.3497,1.3491,1.349417847,0.000444663,1331666.667,0.000175343
12/15/22 0:43,29,1.3494,1.34908,1.349227861,0.000237175,1434375,-0.000140791
12/15/22 0:49,30,1.349525,1.3492,1.349310333,0.000240845,1833846.154,6.11E-05
12/15/22 0:55,31,1.3496,1.34899,1.349291208,0.000452153,1095081.967,-1.42E-05
12/15/22 1:01,32,1.3491,1.34889,1.348974236,0.00015567,2028571.429,-0.000234918
12/15/22 1:08,33,1.3491,1.3488,1.348941042,0.000222403,3236666.667,-2.46E-05
12/15/22 1:14,34,1.349345,1.348895,1.349093583,0.000333527,1866666.667,0.000113083
12/15/22 1:20,35,1.3493,1.3488,1.349070806,0.000370645,1018000,-1.69E-05
12/15/22 1:25,36,1.3491,1.3487,1.348901028,0.000296516,1010000,-0.000125848
12/15/22 1:31,37,1.3491,1.3488,1.348978111,0.000222389,1540000,5.71E-05
12/15/22 1:37,38,1.3494,1.3489,1.34919125,0.000370564,1474000,0.000158
12/15/22 1:42,39,1.3494,1.348745,1.349225639,0.000485619,757251.9084,2.55E-05
12/15/22 1:48,40,1.348905,1.3485,1.348707819,0.000300287,745679.0123,-0.00038379
12/15/22 1:53,41,1.349285,1.3486,1.348927736,0.000507686,792700.7299,0.000163057
12/15/22 1:59,42,1.3495,1.348995,1.349235833,0.000374335,570297.0297,0.000228402
12/15/22 2:04,43,1.34951,1.349,1.349236444,0.000377974,1098039.216,4.53E-07
12/15/22 2:11,44,1.3495,1.3491,1.349310986,0.00029644,1195000,5.52E-05
12/15/22 2:17,45,1.3497,1.3492,1.349446319,0.00037048,1522000,0.000100298
12/15/22 2:22,46,1.349775,1.3493,1.349553542,0.000351929,1014736.842,7.95E-05
